Ship Mode,Segment,City,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Profit_percentage,,Total profit,286397.0217
Second Class,Consumer,South Bend,Indiana,Central,Office Supplies,Storage,141.4,5,0,38.178,0.013330446,,,
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Art,14.52,3,0,4.7916,0.001673062,,,
Second Class,Corporate,Houston,Texas,Central,Office Supplies,Storage,127.92,5,0.2,-15.99,-0.005583159,,,
Second Class,Corporate,Houston,Texas,Central,Office Supplies,Binders,34.24,4,0.8,-53.072,-0.018530919,,,
First Class,Corporate,Bristol,Connecticut,East,Office Supplies,Appliances,137.62,2,0,60.5528,0.021142957,,,
First Class,Corporate,Bristol,Connecticut,East,Technology,Phones,100.49,1,0,25.1225,0.008771914,,,
First Class,Consumer,New York City,New York,East,Furniture,Bookcases,257.568,2,0.2,-28.9764,-0.010117563,,,
First Class,Consumer,New York City,New York,East,Technology,Phones,119.96,4,0,33.5888,0.011728055,,,
Same Day,Consumer,San Antonio,Texas,Central,Office Supplies,Storage,49.632,4,0.2,4.9632,0.001732979,,,
Standard Class,Corporate,Aurora,Colorado,West,Furniture,Tables,727.45,5,0.5,-465.568,-0.16256035,,,
Standard Class,Corporate,Aurora,Colorado,West,Furniture,Furnishings,24.96,3,0.2,4.368,0.001525156,,,
Same Day,Corporate,Newark,Ohio,East,Technology,Phones,370.782,3,0.4,-92.6955,-0.032366084,,,
First Class,Corporate,Henderson,Nevada,West,Furniture,Furnishings,196.45,5,0,70.722,0.024693693,,,
Standard Class,Home Office,Philadelphia,Pennsylvania,East,Office Supplies,Paper,31.104,6,0.2,10.8864,0.003801157,,,
Standard Class,Home Office,Philadelphia,Pennsylvania,East,Office Supplies,Storage,78.256,2,0.2,-17.6076,-0.006147969,,,
Second Class,Consumer,Seattle,Washington,West,Office Supplies,Paper,6.48,1,0,3.1104,0.001086045,,,
Standard Class,Corporate,San Francisco,California,West,Office Supplies,Art,99.2,5,0,25.792,0.00900568,,,
Standard Class,Corporate,San Francisco,California,West,Furniture,Chairs,801.568,2,0.2,50.098,0.0174925,,,
Standard Class,Corporate,San Francisco,California,West,Furniture,Tables,272.848,1,0.2,27.2848,0.009526915,,,
Standard Class,Consumer,Spokane,Washington,West,Furniture,Tables,70.98,1,0,20.5842,0.007187295,,,
Standard Class,Home Office,Columbus,Ohio,East,Office Supplies,Paper,16.224,2,0.2,5.8812,0.002053513,,,
Standard Class,Consumer,Long Beach,New York,East,Furniture,Bookcases,176.784,1,0.2,-22.098,-0.007715862,,,
Standard Class,Consumer,San Antonio,Texas,Central,Technology,Phones,470.376,3,0.2,47.0376,0.016423914,,,
Standard Class,Consumer,Los Angeles,California,West,Furniture,Chairs,393.568,4,0.2,-44.2764,-0.015459798,,,
Standard Class,Consumer,Los Angeles,California,West,Technology,Phones,302.376,3,0.2,22.6782,0.007918448,,,
Standard Class,Corporate,Jacksonville,Florida,South,Office Supplies,Binders,68.742,9,0.7,-48.1194,-0.016801641,,,
Same Day,Consumer,New York City,New York,East,Office Supplies,Envelopes,29.34,3,0,14.67,0.00512226,,,
Same Day,Consumer,New York City,New York,East,Furniture,Chairs,383.607,7,0.1,63.9345,0.022323731,,,
Same Day,Consumer,New York City,New York,East,Office Supplies,Storage,563.4,4,0,67.608,0.023606391,,,
Standard Class,Home Office,Philadelphia,Pennsylvania,East,Office Supplies,Paper,217.056,7,0.2,78.6828,0.02747333,,,
Second Class,Consumer,Keller,Texas,Central,Office Supplies,Labels,6,2,0.2,2.1,0.000733248,,,
Second Class,Consumer,San Francisco,California,West,Furniture,Furnishings,31.56,3,0,10.4148,0.00363649,,,
First Class,Home Office,Hialeah,Florida,South,Office Supplies,Fasteners,7.104,2,0.2,2.3976,0.00083716,,,
First Class,Home Office,Hialeah,Florida,South,Office Supplies,Binders,398.352,8,0.7,-331.96,-0.115909027,,,
First Class,Consumer,Fairfield,Ohio,East,Office Supplies,Appliances,121.792,4,0.2,13.7016,0.004784128,,,
First Class,Consumer,Fairfield,Ohio,East,Furniture,Tables,409.59,3,0.4,-122.877,-0.042904427,,,
Standard Class,Corporate,Huntington Beach,California,West,Office Supplies,Paper,10.56,2,0,4.752,0.001659235,,,
Standard Class,Corporate,Huntington Beach,California,West,Office Supplies,Art,3.38,1,0,1.2506,0.000436667,,,
Second Class,Consumer,Port Orange,Florida,South,Office Supplies,Envelopes,7.824,1,0.2,2.934,0.001024452,,,
Standard Class,Consumer,Medford,Oregon,West,Office Supplies,Paper,24.784,1,0.2,7.745,0.002704288,,,
First Class,Consumer,Charlottesville,Virginia,South,Office Supplies,Art,34.65,3,0,10.395,0.003629577,,,
Standard Class,Consumer,Missoula,Montana,West,Office Supplies,Binders,487.984,2,0.2,152.495,0.053246015,,,
First Class,Consumer,Minneapolis,Minnesota,Central,Office Supplies,Binders,1793.98,2,0,843.1706,0.294406204,,,
Second Class,Consumer,Miami,Florida,South,Office Supplies,Envelopes,29.808,2,0.2,10.8054,0.003772874,,,
Second Class,Consumer,Miami,Florida,South,Office Supplies,Binders,505.176,4,0.7,-336.784,-0.117593402,,,
Second Class,Consumer,Miami,Florida,South,Furniture,Tables,174.0585,3,0.45,-110.7645,-0.038675158,,,
Second Class,Consumer,Florence,South Carolina,South,Office Supplies,Storage,191.88,6,0,19.188,0.00669979,,,
First Class,Home Office,Detroit,Michigan,Central,Technology,Phones,14.78,2,0,3.9906,0.00139338,,,
First Class,Corporate,Springfield,Oregon,West,Office Supplies,Paper,5.184,1,0.2,1.8144,0.000633526,,,
First Class,Corporate,Springfield,Oregon,West,Furniture,Chairs,478.48,2,0.2,47.848,0.016706878,,,
First Class,Corporate,Springfield,Oregon,West,Technology,Accessories,28.4,2,0.2,6.745,0.002355122,,,
First Class,Corporate,Indianapolis,Indiana,Central,Office Supplies,Storage,909.12,8,0,9.0912,0.003174335,,,
Standard Class,Corporate,Apopka,Florida,South,Office Supplies,Binders,2.952,2,0.7,-2.1648,-0.000755874,,,
Standard Class,Corporate,Apopka,Florida,South,Office Supplies,Binders,27.018,6,0.7,-21.6144,-0.007547006,,,
First Class,Corporate,Los Angeles,California,West,Furniture,Furnishings,136.92,4,0,41.076,0.014342328,,,
Standard Class,Consumer,Oceanside,New York,East,Furniture,Furnishings,18.96,2,0,8.532,0.002979081,,,
Standard Class,Corporate,Los Angeles,California,West,Technology,Accessories,99.39,3,0,40.7499,0.014228465,,,
Second Class,Corporate,Houston,Texas,Central,Office Supplies,Paper,273.896,7,0.2,92.4399,0.032276837,,,
Second Class,Corporate,Houston,Texas,Central,Technology,Machines,597.132,3,0.4,49.761,0.017374832,,,
First Class,Consumer,Roswell,Georgia,South,Technology,Accessories,149.95,5,0,65.978,0.023037251,,,
Standard Class,Home Office,Boynton Beach,Florida,South,Office Supplies,Labels,4.608,2,0.2,1.6704,0.000583246,,,
Standard Class,Home Office,Boynton Beach,Florida,South,Office Supplies,Art,15.528,3,0.2,4.8525,0.001694326,,,
Standard Class,Home Office,Boynton Beach,Florida,South,Office Supplies,Labels,11.952,3,0.2,3.8844,0.001356299,,,
Standard Class,Consumer,Franklin,Massachusetts,East,Office Supplies,Art,11.65,5,0,3.3785,0.001179656,,,
Second Class,Home Office,Detroit,Michigan,Central,Technology,Phones,299.9,2,0,74.975,0.026178694,,,
First Class,Corporate,Watertown,New York,East,Office Supplies,Binders,895.92,5,0.2,302.373,0.105578263,,,
First Class,Corporate,Watertown,New York,East,Furniture,Chairs,462.564,2,0.1,97.6524,0.034096863,,,
Standard Class,Corporate,Reading,Pennsylvania,East,Office Supplies,Storage,15.008,2,0.2,1.5008,0.000524028,,,
Second Class,Corporate,Arlington,Texas,Central,Technology,Phones,863.64,9,0.2,107.955,0.037694177,,,
Second Class,Corporate,Arlington,Texas,Central,Office Supplies,Art,47.616,3,0.2,3.5712,0.00124694,,,
Second Class,Consumer,San Diego,California,West,Office Supplies,Paper,92.94,3,0,41.823,0.014603155,,,
Standard Class,Corporate,San Francisco,California,West,Technology,Accessories,199.98,2,0,69.993,0.024439151,,,
Standard Class,Consumer,Los Angeles,California,West,Technology,Phones,177.48,3,0.2,19.9665,0.006971616,,,
First Class,Consumer,Denver,Colorado,West,Office Supplies,Paper,88.768,2,0.2,31.0688,0.010848158,,,
Second Class,Home Office,Seattle,Washington,West,Office Supplies,Paper,6.48,1,0,3.1104,0.001086045,,,
Second Class,Home Office,Seattle,Washington,West,Office Supplies,Storage,46.51,1,0,1.8604,0.000649588,,,
Second Class,Home Office,Seattle,Washington,West,Technology,Phones,659.976,3,0.2,49.4982,0.017283071,,,
Second Class,Consumer,Scottsdale,Arizona,West,Technology,Phones,271.992,1,0.2,23.7993,0.008309898,,,
Second Class,Consumer,Lafayette,Louisiana,South,Furniture,Bookcases,145.74,3,0,23.3184,0.008141984,,,
Second Class,Consumer,Lafayette,Louisiana,South,Furniture,Furnishings,15.4,5,0,7.392,0.002581032,,,
Standard Class,Corporate,San Francisco,California,West,Office Supplies,Paper,244.55,5,0,114.9385,0.040132575,,,
Standard Class,Corporate,San Francisco,California,West,Technology,Accessories,166.16,8,0,59.8176,0.020886251,,,
Second Class,Home Office,San Francisco,California,West,Furniture,Furnishings,14.73,3,0,4.8609,0.001697259,,,
Standard Class,Consumer,Broomfield,Colorado,West,Office Supplies,Binders,19.968,2,0.7,-13.312,-0.004648093,,,
Standard Class,Consumer,Broomfield,Colorado,West,Office Supplies,Storage,33.488,7,0.2,-1.2558,-0.000438482,,,
Standard Class,Consumer,Broomfield,Colorado,West,Office Supplies,Binders,8.736,4,0.7,-6.1152,-0.002135218,,,
Standard Class,Consumer,Broomfield,Colorado,West,Furniture,Chairs,662.88,3,0.2,74.574,0.026038679,,,
First Class,Corporate,Quincy,Illinois,Central,Office Supplies,Labels,47.36,4,0.2,17.76,0.006201182,,,
First Class,Corporate,Quincy,Illinois,Central,Office Supplies,Storage,27.44,2,0.2,2.401,0.000838347,,,
First Class,Corporate,Quincy,Illinois,Central,Office Supplies,Binders,3.24,9,0.8,-5.184,-0.001810075,,,
Standard Class,Corporate,Carrollton,Texas,Central,Technology,Accessories,95.968,4,0.2,26.3912,0.0092149,,,
Standard Class,Corporate,Carrollton,Texas,Central,Office Supplies,Paper,10.368,2,0.2,3.6288,0.001267052,,,
Standard Class,Corporate,New York City,New York,East,Office Supplies,Art,23.1,2,0,6.468,0.002258403,,,
Standard Class,Corporate,New York City,New York,East,Furniture,Furnishings,11.54,2,0,3.462,0.001208811,,,
Standard Class,Corporate,New York City,New York,East,Furniture,Tables,254.526,1,0.4,-93.3262,-0.032586303,,,
Standard Class,Corporate,New York City,New York,East,Office Supplies,Appliances,12.98,1,0,3.7642,0.001314329,,,
Standard Class,Corporate,New York City,New York,East,Office Supplies,Binders,26.432,8,0.2,8.9208,0.003114837,,,
Standard Class,Corporate,New York City,New York,East,Technology,Phones,197.97,3,0,57.4113,0.020046053,,,
Standard Class,Corporate,New York City,New York,East,Office Supplies,Labels,18.9,6,0,9.072,0.003167631,,,
Standard Class,Corporate,New York City,New York,East,Furniture,Chairs,1282.41,5,0.1,213.735,0.074628919,,,
Standard Class,Corporate,New York City,New York,East,Office Supplies,Art,4.92,3,0,2.214,0.000773053,,,
Standard Class,Corporate,New York City,New York,East,Technology,Accessories,238,2,0,38.08,0.013296228,,,
Standard Class,Corporate,New York City,New York,East,Technology,Accessories,167.97,3,0,40.3128,0.014075845,,,
Standard Class,Corporate,New York City,New York,East,Office Supplies,Paper,17.12,4,0,7.704,0.002689972,,,
Second Class,Consumer,Springfield,Missouri,Central,Office Supplies,Binders,16.2,3,0,7.776,0.002715112,,,
Second Class,Consumer,Springfield,Missouri,Central,Office Supplies,Appliances,33.99,3,0,14.6157,0.0051033,,,
Second Class,Consumer,Springfield,Missouri,Central,Technology,Accessories,296.85,5,0,53.433,0.018656968,,,
Second Class,Consumer,Springfield,Missouri,Central,Technology,Accessories,112.8,6,0,6.768,0.002363153,,,
Second Class,Consumer,Springfield,Missouri,Central,Office Supplies,Binders,13.71,3,0,6.5808,0.002297789,,,
Second Class,Consumer,Springfield,Missouri,Central,Office Supplies,Paper,24.9,5,0,11.703,0.004086286,,,
Second Class,Consumer,Springfield,Missouri,Central,Office Supplies,Storage,286.29,3,0,17.1774,0.005997758,,,
Second Class,Consumer,Springfield,Missouri,Central,Office Supplies,Appliances,24.18,2,0,7.254,0.002532848,,,
Standard Class,Consumer,Paterson,New Jersey,East,Technology,Phones,281.97,3,0,78.9516,0.027567186,,,
Standard Class,Consumer,Paterson,New Jersey,East,Office Supplies,Supplies,69.5,5,0,20.155,0.007037434,,,
Standard Class,Consumer,Paterson,New Jersey,East,Office Supplies,Paper,166.44,3,0,79.8912,0.027895262,,,
Standard Class,Consumer,Tulsa,Oklahoma,Central,Technology,Accessories,291.96,4,0,102.186,0.03567984,,,
Standard Class,Home Office,Chicago,Illinois,Central,Office Supplies,Art,6.408,3,0.2,0.6408,0.000223745,,,
Standard Class,Home Office,Chicago,Illinois,Central,Technology,Accessories,408.744,7,0.2,76.6395,0.02675988,,,
Standard Class,Consumer,Chicago,Illinois,Central,Office Supplies,Binders,5.104,4,0.8,-8.6768,-0.00302964,,,
Standard Class,Consumer,Chicago,Illinois,Central,Office Supplies,Fasteners,2.896,2,0.2,0.4706,0.000164317,,,
Standard Class,Consumer,Chicago,Illinois,Central,Technology,Accessories,35.016,3,0.2,-2.1885,-0.000764149,,,
Second Class,Corporate,Montgomery,Alabama,South,Office Supplies,Storage,275.97,3,0,11.0388,0.00385437,,,
Second Class,Corporate,Montgomery,Alabama,South,Technology,Phones,1394.95,5,0,362.687,0.126637839,,,
Second Class,Corporate,Montgomery,Alabama,South,Furniture,Chairs,545.88,6,0,70.9644,0.02477833,,,
Standard Class,Consumer,Salem,Oregon,West,Office Supplies,Art,5.248,2,0.2,0.5904,0.000206147,,,
Same Day,Consumer,Glendale,Arizona,West,Furniture,Chairs,933.536,4,0.2,105.0228,0.036670353,,,
Same Day,Consumer,Glendale,Arizona,West,Office Supplies,Storage,42.976,4,0.2,4.2976,0.001500574,,,
Second Class,Corporate,Columbus,Georgia,South,Office Supplies,Binders,3.76,2,0,1.8048,0.000630174,,,
Standard Class,Consumer,Oklahoma City,Oklahoma,Central,Technology,Phones,479.96,4,0,134.3888,0.046923952,,,
Second Class,Corporate,Brentwood,California,West,Office Supplies,Appliances,320.88,6,0,93.0552,0.032491679,,,
Second Class,Corporate,Brentwood,California,West,Furniture,Furnishings,23.88,3,0,10.5072,0.003668753,,,
Second Class,Corporate,Brentwood,California,West,Office Supplies,Paper,26.76,4,0,12.3096,0.004298089,,,
First Class,Consumer,Columbus,Ohio,East,Technology,Copiers,1439.976,4,0.4,191.9968,0.067038686,,,
Standard Class,Consumer,Springfield,Missouri,Central,Office Supplies,Binders,17.22,3,0,7.9212,0.002765811,,,
Standard Class,Consumer,Springfield,Missouri,Central,Furniture,Tables,1024.38,7,0,215.1198,0.075112443,,,
Standard Class,Consumer,Springfield,Missouri,Central,Office Supplies,Envelopes,26.22,3,0,12.3234,0.004302908,,,
Standard Class,Consumer,Springfield,Missouri,Central,Office Supplies,Paper,17.34,3,0,8.4966,0.002966721,,,
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,4.956,4,0.7,-3.7996,-0.00132669,,,
Standard Class,Home Office,Springfield,Oregon,West,Office Supplies,Labels,71.04,6,0.2,26.64,0.009301773,,,
Standard Class,Home Office,Springfield,Oregon,West,Office Supplies,Art,5.344,2,0.2,0.7348,0.000256567,,,
Standard Class,Home Office,Springfield,Oregon,West,Office Supplies,Fasteners,11.304,3,0.2,-2.1195,-0.000740057,,,
Second Class,Consumer,Houston,Texas,Central,Office Supplies,Appliances,294.62,5,0.8,-766.012,-0.267465072,,,
Second Class,Consumer,Houston,Texas,Central,Furniture,Furnishings,8.752,4,0.6,-3.7196,-0.001298757,,,
First Class,Corporate,Chesapeake,Virginia,South,Office Supplies,Labels,15,4,0,7.2,0.002513993,,,
First Class,Corporate,Chesapeake,Virginia,South,Technology,Phones,161.61,1,0,42.0186,0.014671451,,,
First Class,Corporate,Chesapeake,Virginia,South,Technology,Phones,144.95,5,0,42.0355,0.014677352,,,
Standard Class,Consumer,Pasadena,California,West,Technology,Accessories,199.95,5,0,21.9945,0.007679724,,,
Standard Class,Consumer,Pasadena,California,West,Office Supplies,Art,41.86,7,0,14.2324,0.004969465,,,
Second Class,Consumer,Louisville,Kentucky,South,Office Supplies,Storage,95.94,3,0,9.594,0.003349895,,,
Second Class,Consumer,Louisville,Kentucky,South,Furniture,Chairs,304.45,5,0,76.1125,0.02657587,,,
Standard Class,Home Office,Lubbock,Texas,Central,Office Supplies,Binders,11.364,3,0.8,-17.046,-0.005951878,,,
Standard Class,Corporate,Columbia,Missouri,Central,Office Supplies,Art,29.68,7,0,11.5752,0.004041662,,,
Standard Class,Corporate,Columbia,Missouri,Central,Technology,Accessories,47.53,7,0,16.1602,0.005642587,,,
First Class,Consumer,Chicago,Illinois,Central,Furniture,Bookcases,183.372,2,0.3,-36.6744,-0.01280544,,,
Standard Class,Consumer,Johnson City,Tennessee,South,Office Supplies,Art,4.224,3,0.2,0.4752,0.000165924,,,
Standard Class,Consumer,Johnson City,Tennessee,South,Office Supplies,Appliances,333.056,2,0.2,29.1424,0.010175525,,,
Standard Class,Consumer,Johnson City,Tennessee,South,Office Supplies,Paper,24.896,4,0.2,7.78,0.002716509,,,
Same Day,Consumer,Houston,Texas,Central,Technology,Accessories,159.984,2,0.2,35.9964,0.012568706,,,
Same Day,Consumer,Houston,Texas,Central,Office Supplies,Storage,46.344,3,0.2,4.6344,0.001618173,,,
Standard Class,Consumer,Auburn,Alabama,South,Furniture,Chairs,350.98,1,0,84.2352,0.029412038,,,
Standard Class,Consumer,Auburn,Alabama,South,Office Supplies,Paper,13.08,2,0,6.0168,0.00210086,,,
Standard Class,Consumer,Auburn,Alabama,South,Office Supplies,Storage,900.08,4,0,117.0104,0.040856011,,,
Standard Class,Consumer,San Bernardino,California,West,Office Supplies,Binders,17.568,2,0.2,6.3684,0.002223626,,,
Standard Class,Consumer,San Bernardino,California,West,Office Supplies,Labels,14.62,2,0,6.8714,0.002399257,,,
Standard Class,Consumer,San Bernardino,California,West,Office Supplies,Supplies,33.36,4,0,8.6736,0.003028523,,,
Standard Class,Consumer,San Bernardino,California,West,Office Supplies,Paper,40.14,6,0,19.6686,0.006867599,,,
First Class,Home Office,Providence,Rhode Island,East,Office Supplies,Storage,1606.23,9,0,481.869,0.168252099,,,
First Class,Home Office,Providence,Rhode Island,East,Office Supplies,Paper,17.04,3,0,7.668,0.002677402,,,
First Class,Home Office,Providence,Rhode Island,East,Office Supplies,Binders,49.53,3,0,23.7744,0.008301204,,,
First Class,Home Office,Providence,Rhode Island,East,Furniture,Chairs,872.32,4,0,244.2496,0.085283568,,,
Second Class,Consumer,Fresno,California,West,Office Supplies,Binders,239.12,5,0.2,77.714,0.027135059,,,
First Class,Consumer,Seattle,Washington,West,Furniture,Bookcases,141.96,2,0,39.7488,0.013878915,,,
Second Class,Home Office,Lancaster,California,West,Office Supplies,Binders,33.024,2,0.2,11.5584,0.004035796,,,
Second Class,Home Office,Lancaster,California,West,Office Supplies,Binders,67.136,4,0.2,23.4976,0.008204555,,,
Standard Class,Corporate,Leominster,Massachusetts,East,Office Supplies,Binders,14.73,3,0,6.9231,0.002417309,,,
Standard Class,Corporate,Leominster,Massachusetts,East,Office Supplies,Storage,104.9,5,0,25.176,0.008790594,,,
Standard Class,Corporate,Leominster,Massachusetts,East,Office Supplies,Binders,61.04,4,0,30.52,0.010656535,,,
Standard Class,Corporate,Leominster,Massachusetts,East,Office Supplies,Paper,10.95,3,0,5.1465,0.001796981,,,
Standard Class,Corporate,Fort Worth,Texas,Central,Office Supplies,Paper,9.392,2,0.2,3.2872,0.001147777,,,
Standard Class,Corporate,Fort Worth,Texas,Central,Office Supplies,Art,9.328,1,0.2,0.8162,0.000284989,,,
Standard Class,Consumer,Rochester,Minnesota,Central,Office Supplies,Binders,8.26,2,0,3.8822,0.001355531,,,
Standard Class,Consumer,Rochester,Minnesota,Central,Furniture,Chairs,269.97,3,0,51.2943,0.017910207,,,
Standard Class,Home Office,Bozeman,Montana,West,Office Supplies,Paper,29.04,3,0,13.9392,0.00486709,,,
Standard Class,Home Office,Bozeman,Montana,West,Office Supplies,Labels,14.62,2,0,6.8714,0.002399257,,,
Standard Class,Home Office,Peoria,Arizona,West,Office Supplies,Paper,11.952,3,0.2,4.3326,0.001512795,,,
Standard Class,Home Office,Peoria,Arizona,West,Office Supplies,Binders,4.536,7,0.7,-3.3264,-0.001161465,,,
Standard Class,Home Office,Peoria,Arizona,West,Office Supplies,Binders,9.156,2,0.7,-6.104,-0.002131307,,,
Standard Class,Home Office,Peoria,Arizona,West,Furniture,Furnishings,75.36,5,0.2,20.724,0.007236109,,,
Standard Class,Corporate,San Diego,California,West,Office Supplies,Binders,57.504,6,0.2,20.1264,0.007027447,,,
Standard Class,Corporate,Lakewood,Ohio,East,Office Supplies,Art,38.864,7,0.2,7.7728,0.002713995,,,
Standard Class,Corporate,Houston,Texas,Central,Office Supplies,Paper,15.552,3,0.2,5.4432,0.001900578,,,
Standard Class,Corporate,Perth Amboy,New Jersey,East,Office Supplies,Appliances,162.64,2,0,45.5392,0.015900724,,,
Standard Class,Corporate,Perth Amboy,New Jersey,East,Technology,Phones,597,3,0,280.59,0.097972388,,,
Standard Class,Corporate,Perth Amboy,New Jersey,East,Office Supplies,Paper,55.48,1,0,26.6304,0.009298421,,,
First Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Furnishings,289.8,7,0.2,36.225,0.012648525,,,
First Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,2.502,3,0.7,-2.0016,-0.00069889,,,
First Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,6.48,4,0.7,-4.752,-0.001659235,,,
First Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Chairs,341.488,8,0.3,-73.176,-0.025550545,,,
First Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,11.12,5,0.2,0.834,0.000291204,,,
First Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Furnishings,25.344,6,0.2,3.4848,0.001216772,,,
Standard Class,Consumer,Richmond,Indiana,Central,Furniture,Furnishings,17.31,3,0,5.193,0.001813217,,,
First Class,Consumer,Detroit,Michigan,Central,Technology,Accessories,199.95,5,0,63.984,0.022341014,,,
First Class,Consumer,Detroit,Michigan,Central,Furniture,Chairs,1586.69,7,0,412.5394,0.144044585,,,
First Class,Consumer,Detroit,Michigan,Central,Technology,Accessories,84.99,1,0,30.5964,0.010683212,,,
First Class,Consumer,Detroit,Michigan,Central,Furniture,Tables,411.8,2,0,70.006,0.02444369,,,
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Fasteners,11.34,3,0,5.2164,0.001821388,,,
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Storage,80.3,5,0,20.878,0.00728988,,,
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Binders,15.968,2,0.2,5.3892,0.001881723,,,
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Paper,64.74,13,0,30.4278,0.010624342,,,
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Binders,19.296,3,0.2,6.03,0.002105469,,,
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Storage,405.64,4,0,12.1692,0.004249067,,,
Standard Class,Corporate,Los Angeles,California,West,Furniture,Chairs,146.352,3,0.2,-9.147,-0.003193818,,,
Standard Class,Corporate,Los Angeles,California,West,Technology,Accessories,251.91,9,0,47.8629,0.01671208,,,
Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Art,12.39,3,0,3.717,0.001297849,,,
Standard Class,Consumer,Pomona,California,West,Technology,Accessories,199.96,4,0,69.986,0.024436707,,,
Standard Class,Consumer,Pomona,California,West,Furniture,Tables,710.832,3,0.2,-97.7394,-0.03412724,,,
Second Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Binders,1.941,1,0.7,-1.294,-0.00045182,,,
Standard Class,Consumer,Ontario,California,West,Furniture,Chairs,283.92,5,0.2,-46.137,-0.016109455,,,
Standard Class,Corporate,Seattle,Washington,West,Office Supplies,Binders,7.312,2,0.2,2.5592,0.000893585,,,
Second Class,Home Office,Brentwood,California,West,Technology,Accessories,59.97,3,0,13.7931,0.004816077,,,
Second Class,Home Office,Brentwood,California,West,Technology,Phones,761.544,7,0.2,66.6351,0.023266687,,,
Standard Class,Consumer,San Francisco,California,West,Furniture,Furnishings,58.2,3,0,28.518,0.009957506,,,
First Class,Consumer,Baltimore,Maryland,East,Office Supplies,Paper,39.9,5,0,19.95,0.006965855,,,
First Class,Consumer,Baltimore,Maryland,East,Office Supplies,Appliances,90.86,7,0,26.3494,0.009200305,,,
First Class,Consumer,Baltimore,Maryland,East,Office Supplies,Paper,94.85,5,0,45.528,0.015896813,,,
Standard Class,Consumer,Phoenix,Arizona,West,Office Supplies,Paper,106.232,7,0.2,37.1812,0.012982398,,,
Standard Class,Consumer,Phoenix,Arizona,West,Technology,Phones,111.984,2,0.2,11.1984,0.003910097,,,
Standard Class,Consumer,Phoenix,Arizona,West,Furniture,Furnishings,7.712,2,0.2,1.7352,0.000605872,,,
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,37.44,6,0,16.848,0.005882743,,,
Standard Class,Home Office,Houston,Texas,Central,Office Supplies,Labels,23.68,2,0.2,8.88,0.003100591,,,
Standard Class,Consumer,New York City,New York,East,Office Supplies,Labels,122.12,4,0,56.1752,0.01961445,,,
Standard Class,Consumer,New York City,New York,East,Office Supplies,Labels,18.45,5,0,8.6715,0.00302779,,,
Standard Class,Consumer,New York City,New York,East,Office Supplies,Storage,324.9,5,0,38.988,0.01361327,,,
Standard Class,Consumer,New York City,New York,East,Office Supplies,Paper,146.73,3,0,68.9631,0.024079545,,,
Standard Class,Consumer,New York City,New York,East,Office Supplies,Fasteners,3.96,2,0,1.4652,0.000511597,,,
Standard Class,Corporate,Rancho Cucamonga,California,West,Office Supplies,Labels,5.76,2,0,2.6496,0.000925149,,,
Standard Class,Consumer,Wilmington,Delaware,East,Office Supplies,Binders,26.55,3,0,13.0095,0.00454247,,,
Standard Class,Consumer,Wilmington,Delaware,East,Furniture,Tables,310.443,3,0.3,-48.7839,-0.017033662,,,
Standard Class,Home Office,Moorhead,Minnesota,Central,Furniture,Chairs,479.9,5,0,81.583,0.028485981,,,
Second Class,Consumer,Farmington,New Mexico,West,Office Supplies,Supplies,12.88,1,0,0.3864,0.000134918,,,
Standard Class,Consumer,Wilmington,North Carolina,South,Office Supplies,Art,13.12,5,0.2,1.476,0.000515368,,,
Standard Class,Home Office,Jackson,Mississippi,South,Office Supplies,Binders,511.84,8,0,240.5648,0.083996963,,,
Standard Class,Home Office,Jackson,Mississippi,South,Office Supplies,Art,91.96,4,0,25.7488,0.008990596,,,
Standard Class,Home Office,Jackson,Mississippi,South,Office Supplies,Art,8.34,3,0,2.1684,0.000757131,,,
Standard Class,Consumer,Portland,Oregon,West,Office Supplies,Storage,37.68,3,0.2,2.355,0.000822285,,,
Standard Class,Consumer,Portland,Oregon,West,Technology,Accessories,279.944,7,0.2,80.4839,0.028102213,,,
Standard Class,Consumer,Denver,Colorado,West,Office Supplies,Storage,636.408,3,0.2,-15.9102,-0.005555295,,,
Standard Class,Consumer,Denver,Colorado,West,Office Supplies,Art,83.168,4,0.2,9.3564,0.003266933,,,
Same Day,Home Office,Tucson,Arizona,West,Furniture,Chairs,259.136,4,0.2,-25.9136,-0.009048139,,,
